date,real_spend_per_episode
2018-03-31,1513.2335121267279
2019-03-31,1484.9712554919959
2020-03-31,1490.6995887605233
2021-03-31,1581.5036188408003
2022-03-31,1702.2576823397126
2023-03-31,1900.5074525880082
