Code,LA_name,Bed based intermediate Care Services,Reablement in a persons own home,LA_code.x,area_code,region_code,region_name,metric,value,date,over_65_pop.x,reablement_BCF_percapita,reablement_BCF_per65s,LA_code.y,episodes_over65,over_65_pop.y,population,per_cap
E08000014,Sefton,3026350,1181700,E08000014,317,E12000002,North West,Population,226688,2023-03-31,65158,5.21289172783738,18.135915773964825,E08000014,1345,65158,226688,20.642131434359555
E08000015,Wirral,9493273.969999999,1231249,E08000015,319,E12000002,North West,Population,255125,2023-03-31,70819,4.8260617344439,17.38585690280857,E08000015,630,70819,255125,8.895917762182464
E08000016,Barnsley,3462948,1672130,E08000016,204,E12000003,Yorkshire and The Humber,Population,194810,2023-03-31,47905,8.583388943072737,34.90512472602025,E08000016,775,47905,194810,16.17785199874752
E08000017,Doncaster,14128000,2394000,E08000017,205,E12000003,Yorkshire and The Humber,Population,244604,2023-03-31,60245,9.787247959967948,39.737737571582706,E08000017,1255,60245,244604,20.831604282513073
E08000018,Rotherham,4810000,2343000,E08000018,206,E12000003,Yorkshire and The Humber,Population,209835,2023-03-31,52551,11.165916076917577,44.58526003311069,E08000018,695,52551,209835,13.225247854465186
E08000019,Sheffield,21078555,9754329,E08000019,207,E12000003,Yorkshire and The Humber,Population,442086,2023-03-31,95267,22.064324588428494,102.38937932337535,E08000019,3395,95267,442086,35.63668426632517
E08000021,Newcastle upon Tyne,3792528,NA,E08000021,107,E12000001,North East,Population,240721,2023-03-31,44860,NA,NA,E08000021,1075,44860,240721,23.963441818992422
E08000022,North Tyneside,3423128,NA,E08000022,108,E12000001,North East,Population,167310,2023-03-31,43213,NA,NA,E08000022,1085,43213,167310,25.10818503691019
E08000023,South Tyneside,7410000,1300000,E08000023,109,E12000001,North East,Population,118217,2023-03-31,31060,10.996726359153083,41.85447520927237,E08000023,205,31060,118217,6.600128783000644
E08000024,Sunderland,3973129,3719256,E08000024,110,E12000001,North East,Population,220189,2023-03-31,56639,16.891198016249675,65.66598986564028,E08000024,645,56639,220189,11.387912922191422
E08000025,Birmingham,12928140,18015178,E08000025,406,E12000005,West Midlands,Population,856108,2023-03-31,150892,21.043113719297097,119.39120695596851,E08000025,3985,150892,856108,26.409617474750153
E08000026,Coventry,1336397,872526,E08000026,407,E12000005,West Midlands,Population,266954,2023-03-31,50439,3.2684507443229918,17.298637958722416,E08000026,2580,50439,266954,51.15089514066496
E08000027,Dudley,3692948,5738700,E08000027,408,E12000005,West Midlands,Population,255135,2023-03-31,66258,22.49279793050738,86.61142805397084,E08000027,2470,66258,255135,37.27851731111715
E08000028,Sandwell,7804142,12555115,E08000028,409,E12000005,West Midlands,Population,256862,2023-03-31,49986,48.878833770662844,251.17262833593406,E08000028,2395,49986,256862,47.913415756411794
E08000029,Solihull,3149369,4911516,E08000029,410,E12000005,West Midlands,Population,169737,2023-03-31,45774,28.936036338570847,107.29925285096343,E08000029,755,45774,169737,16.49407960851138
E08000030,Walsall,2393516.3328,1746589.4848000002,E08000030,411,E12000005,West Midlands,Population,216032,2023-03-31,49649,8.08486467190046,35.17874448226551,E08000030,1855,49649,216032,37.362283228262406
E08000031,Wolverhampton,8471467,1265000,E08000031,412,E12000005,West Midlands,Population,202074,2023-03-31,43585,6.260082939913101,29.023746701846967,E08000031,545,43585,202074,12.504301938740392
E08000032,Bradford,24737912,11421426,E08000032,209,E12000003,Yorkshire and The Humber,Population,406465,2023-03-31,83489,28.09940831313889,136.80156667345398,E08000032,2110,83489,406465,25.272790427481464
E08000033,Calderdale,2231704,2625390,E08000033,210,E12000003,Yorkshire and The Humber,Population,161787,2023-03-31,39496,16.227447199095106,66.47230099250557,E08000033,730,39496,161787,18.48288434271825
E08000034,Kirklees,1928663,10473286,E08000034,211,E12000003,Yorkshire and The Humber,Population,335593,2023-03-31,77258,31.208296954942444,135.5624789665795,E08000034,1425,77258,335593,18.4446918118512
E08000035,Leeds,19570991,5607000,E08000035,212,E12000003,Yorkshire and The Humber,Population,638465,2023-03-31,127422,8.78200057951493,44.00339030936573,E08000035,1580,127422,638465,12.399742587622232
E08000036,Wakefield,NA,2393871,E08000036,213,E12000003,Yorkshire and The Humber,Population,280120,2023-03-31,67050,8.545876767099815,35.702774049217005,E08000036,750,67050,280120,11.185682326621924
E08000037,Gateshead,740069,3252478,E08000037,106,E12000001,North East,Population,157656,2023-03-31,39983,20.630220226315522,81.34652227196558,E08000037,970,39983,157656,24.26031063201861
E09000001,City of London,NA,255394,E09000001,714,E12000007,London,Population,7987,2023-03-31,1240,31.97621134343308,205.96290322580646,E09000001,15,1240,7987,12.096774193548386
E09000002,Barking and Dagenham,NA,1942657,E09000002,716,E12000007,London,Population,155202,2023-03-31,19123,12.516958544348656,101.58746012654917,E09000002,925,19123,155202,48.371071484599696
E09000003,Barnet,11953685,791873,E09000003,717,E12000007,London,Population,299504,2023-03-31,56551,2.6439479940167745,14.002811621368322,E09000003,2260,56551,299504,39.96392636734983
E09000004,Bexley,NA,2032000,E09000004,718,E12000007,London,Population,190018,2023-03-31,41028,10.693723752486607,49.52715218874915,E09000004,1345,41028,190018,32.78249000682461
E09000005,Brent,800000,2881927,E09000005,719,E12000007,London,Population,265986,2023-03-31,39877,10.834882287037663,72.27040649998746,E09000005,945,39877,265986,23.69787095318103
E09000006,Bromley,2676000,1276000,E09000006,720,E12000007,London,Population,257344,2023-03-31,58356,4.95834369559811,21.865789293303173,E09000006,345,58356,257344,5.9119884844746045
E09000007,Camden,681532,1847465,E09000007,702,E12000007,London,Population,173923,2023-03-31,24989,10.622315622430616,73.93112969706671,E09000007,1345,24989,173923,53.823682420264916
E09000008,Croydon,2585432,3826448,E09000008,721,E12000007,London,Population,300523,2023-03-31,53416,12.732629449326673,71.63486595776547,E09000008,950,53416,300523,17.784933353302378
E09000009,Ealing,NA,1378304,E09000009,722,E12000007,London,Population,286113,2023-03-31,44769,4.817341400076193,30.787017802497264,E09000009,970,44769,286113,21.666778351091157
E09000010,Enfield,NA,NA,E09000010,723,E12000007,London,Population,247878,2023-03-31,45300,NA,NA,E09000010,475,45300,247878,10.485651214128035
E09000011,Greenwich,385000,1612000,E09000011,703,E12000007,London,Population,223617,2023-03-31,30454,7.208754253925238,52.93229132462074,E09000011,450,30454,223617,14.776384054639784
E09000012,Hackney,2414791,1622020,E09000012,704,E12000007,London,Population,204234,2023-03-31,NA,7.9419685262982656,NA,E09000012,NA,NA,204234,NA
E09000013,Hammersmith and Fulham,51173.31456,19909348.152,E09000013,705,E12000007,London,Population,151493,2023-03-31,19101,131.42091154046722,1042.3196770849693,E09000013,505,19101,151493,26.43840636615884
E09000014,Haringey,1711211,3983057,E09000014,724,E12000007,London,Population,209810,2023-03-31,27961,18.9841141985606,142.45044883945496,E09000014,645,27961,209810,23.067844497693216
E09000015,Harrow,NA,1589779.8216827,E09000015,725,E12000007,London,Population,202918,2023-03-31,40490,7.83459240522132,39.263517453265,E09000015,755,40490,202918,18.64657940232156
E09000016,Havering,NA,2117880,E09000016,726,E12000007,London,Population,203483,2023-03-31,46192,10.408142203525601,45.84949774852788,E09000016,1390,46192,203483,30.09179078628334
E09000017,Hillingdon,2426119,4479547,E09000017,727,E12000007,London,Population,233696,2023-03-31,41314,19.16826561002328,108.42685288280002,E09000017,775,41314,233696,18.758774265382193
E09000018,Hounslow,NA,10768250.515108913,E09000018,728,E12000007,London,Population,221946,2023-03-31,34252,48.51743448906001,314.3831167554862,E09000018,1640,34252,221946,47.88041574214645
E09000019,Islington,2297960,2110100.079,E09000019,706,E12000007,London,Population,180235,2023-03-31,20448,11.707493433572836,103.19347021713615,E09000019,310,20448,180235,15.160406885758999
