date,real_expenditure
2016-03-31,369332052.3522278
2017-03-31,368281521.89750326
2018-03-31,371940182.2244823
2019-03-31,378701070.25779843
2020-03-31,389588912.6941618
2021-03-31,389612904.6595574
2022-03-31,428707787.881224
2023-03-31,477512000
